Дата,ID пользователя,Имя,Мероприятие,Категория,Количество,Сумма,ID заказа,Статус,Payment ID
21.12.2025 10:06:43,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,700,30d9b017-000f-5000-b000-1f99a63fda59,Оплачен,
,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,700,30d8bee6-000f-5001-9000-170858da97d2,Не оплачен,
19.12.2025 18:03:02,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,1400,30d77b16-000f-5001-9000-1eda581574ec,Оплачен,
19.12.2025 14:03:28,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,1400,30d74453-000f-5001-9000-164b22e5d4e4,Оплачен,
18.12.2025 19:10:17,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,700,30d63afb-000f-5001-8000-14d76f0d364c,Оплачен,
30.11.2025 14:50:50,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,600,30be4327-000f-5000-b000-19626fb9f450,Оплачен,
30.11.2025 13:13:57,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,1200,30be2b23-000f-5000-8000-1de07d66d5fe,Оплачен,
30.11.2025 12:17:25,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,3,1800,30be1ef9-000f-5001-9000-1903c6a4a919,Оплачен,
30.11.2025 11:56:21,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,600,30be1a41-000f-5000-b000-160ac6d07e88,Оплачен,
25.11.2025 20:43:55,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,3,1800,30b7fe76-000f-5001-8000-1c4294316c88,Оплачен,
25.11.2025 7:00:45,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,1200,30b73d5e-000f-5000-8000-1b54a46d3b1b,Оплачен,
22.11.2025 17:16:57,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,600,30b3d968-000f-5000-b000-1d4801590921,Оплачен,
22.11.2025 14:09:58,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,1200,30b3ad27-000f-5000-b000-1c6c52a6d171,Оплачен,
21.11.2025 8:33:28,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,1200,30b20d40-000f-5001-9000-1cdd6ae672e4,Оплачен,
16.11.2025 17:22:56,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,600,30abf1dc-000f-5000-b000-123c78df42f4,Оплачен,
16.11.2025 14:26:03,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,3,1800,30abc855-000f-5000-b000-1373bb383af9,Оплачен,
15.11.2025 16:52:17,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,600,30aa990c-000f-5000-8000-1e84586fe140,Оплачен,
14.11.2025 19:57:48,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,600,30a97325-000f-5000-8000-1e3da6a09972,Оплачен,
13.11.2025 20:20:32,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,4,2400,30a826a4-000f-5001-8000-103b62a43050,Оплачен,
12.11.2025 22:29:51,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,1200,30a6f3a5-000f-5000-b000-107f3ea5758f,Оплачен,
10.11.2025 18:02:36,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,1200,30a411f2-000f-5001-8000-1724317cfc7d,Оплачен,
06.11.2025 19:59:08,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,2,1200,309ee782-000f-5001-8000-1b65ecfddcbb,Оплачен,
05.11.2025 16:02:57,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,600,309d5e93-000f-5001-8000-1600bca3a364,Оплачен,
05.11.2025 14:58:15,,,Отчётный концерт Не Школы Гитары и Барабанов,Билет,1,600,309d4e65-000f-5000-b000-1e4a42a955c4,Оплачен,
